time;od;prefix;range
0;0.908;time1200;[0.5e5 1.6e5 1.7e5 3e5]
10;0.92;time1210;[0.8e5 1.6e5 1.7e5 3e5]
15;0.9;time1215;[0.8e5 1.8e5 1.9e5 3e5]
20;0.916;time1220;[0.8e5 1.8e5 1.9e5 3e5]
30;NaN;time1230;[0.8e5 1.8e5 1.9e5 3.3e5]
40;NaN;time1240;[0.8e5 1.8e5 1.9e5 3.3e5]
50;NaN;time1250;[0.8e5 1.8e5 1.9e5 3.3e5]
60;NaN;time1300;[0.8e5 1.8e5 1.9e5 3.3e5]
70;NaN;time1310;[0.8e5 1.8e5 1.9e5 3.3e5]
80;NaN;time1320;[0.8e5 1.8e5 1.9e5 3.3e5]
90;NaN;time1330;[0.8e5 1.8e5 1.9e5 3.3e5]
130;NaN;time1410;[7e4 1.8e5 2.2e5 3.5e5]
170;NaN;time1450;[5e4 2.0e5 2.3e5 3.5e5]
210;NaN;time1530;[3e4 2.0e5 2.1e5 3.5e5]
240;NaN;time1600;[1e4 1.8e5 2.1e5 3.5e5]
270;NaN;time1630;[1e4 1.8e5 2.1e5 3.5e5]
300;NaN;time1700;[3e4 2.0e5 2.1e5 3.5e5]
330;NaN;time1730;[3e4 2.0e5 2.1e5 3.5e5]
