Time,zero,half,max
0,0.568861788,0.672810863,0.612396971
6,0.569927257,0.648187587,0.620949814
12,0.576264897,0.584570715,0.608536246
18,0.574162797,0.573107819,0.615268307
24,0.578356745,0.584570715,0.612396971
30,0.578356745,0.592715245,0.61906496
36,0.592715245,0.592715245,0.61431353
42,0.591705852,0.603657807,0.613356392
48,0.659421282,0.618119231,0.615268307
54,0.583541455,0.600702387,0.61431353
60.16333333,0.567793691,0.605616276,0.615268307
65.99833333,0.583541455,0.597725334,0.621888898
71.99833333,0.616220885,0.597725334,0.615268307
77.99833333,0.591705852,0.595728625,0.618119231
83.99833333,0.580438234,0.595728625,0.615268307
89.99833333,0.577312109,0.588662856,0.626551072
95.99833333,0.583541455,0.594726583,0.626551072
101.9983333,0.587643634,0.594726583,0.622825751
107.9983333,0.588662856,0.593722099,0.61906496
113.9983333,0.579398811,0.597725334,0.621888898
119.9983333,0.591705852,0.596728223,0.628400573
125.9983333,0.587643634,0.590694003,0.632986663
131.9983333,0.602675029,0.598720086,0.636617195
137.9983333,0.603657807,0.604638223,0.634806183
143.9983333,0.603657807,0.647309714,0.636617195
149.9983333,0.601689931,0.61431353,0.638419892
155.9983333,0.61431353,0.668676634,0.641108305
161.9983333,0.604638223,0.649937356,0.642890329
167.9983333,0.612396971,0.61431353,0.649937356
173.9983333,0.615268307,0.618119231,0.65685789
179.9983333,0.618119231,0.620008501,0.661120799
185.9983333,0.604638223,0.627476872,0.663655965
191.9983333,0.609504925,0.633897478,0.671162495
197.9983333,0.618119231,0.636617195,0.671162495
203.9983333,0.623760334,0.64554803,0.676086445
209.9983333,0.626551072,0.64377822,0.677713786
215.9983333,0.631158629,0.705894048,0.677713786
222.1616667,0.629322099,0.650809206,0.677713786
227.9983333,0.625623015,0.642000345,0.685748978
233.9983333,0.64377822,0.644664132,0.686543378
239.9983333,0.64021421,0.649937356,0.688127235
245.9983333,0.649063459,0.649937356,0.689704695
251.9983333,0.647309714,0.658568701,0.689704695
257.9983333,0.639318059,0.680948005,0.69284046
263.9983333,0.648187587,0.655139357,0.69284046
269.9983333,0.659421282,0.657714274,0.694398884
275.9983333,0.650809206,0.655999584,0.69517579
281.9983333,0.653413177,0.659421282,0.696725
287.9983333,0.659421282,0.65685789,0.697497303
293.9983333,0.662812754,0.668676634,0.698268042
299.9983333,0.651679157,0.662812754,0.699037316
305.9983333,0.667010356,0.662812754,0.699805096
311.9983333,0.665336863,0.665336863,0.70057138
317.9983333,0.662812754,0.663655965,0.70057138
323.9983333,0.666174489,0.67445212,0.702099434
329.9966667,0.663655965,0.667844396,0.702099434
335.9983333,0.667844396,0.67445212,0.702861274
341.9966667,0.664497335,0.67198756,0.704380525
347.9966667,0.666174489,0.694398884,0.703621658
353.9983333,0.661967735,0.679334328,0.705894048
359.9966667,0.665336863,0.67445212,0.704380525
