Time,zero,half,max
0,0.883543285,0.886175071,0.934577031
5,0.878964233,0.890145003,0.930943175
10,0.869254788,0.87118637,0.931667449
15,0.869254788,0.869898114,0.916009063
20,0.878312716,0.877011571,0.925907788
25,0.876361941,0.867969805,0.930220145
30,0.878312716,0.870541968,0.926623514
35,0.864126578,0.883543285,0.928058453
40,0.88551612,0.891474366,0.922346848
45,0.873769551,0.918111698,0.914612822
50,0.870541968,0.890145003,0.920224257
55,0.87118637,0.900873034,0.909069427
60,0.876361941,0.889481451,0.925193251
65,0.869898114,0.876361941,0.920930688
70,0.868611989,0.882887088,0.916009063
75,0.860936797,0.886834854,0.909069427
80,0.872476825,0.881576751,0.919518959
85,0.860300122,0.890809341,0.918111698
90,0.87118637,0.875712918,0.923767721
95,0.869898114,0.884200188,0.916708854
100,0.873769551,0.888156638,0.918111698
105,0.880269125,0.888818663,0.916708854
110,0.857122927,0.891474366,0.921638147
115,0.875712918,0.876361941,0.929498352
120,0.877661829,0.886834854,0.927340431
125,0.873122901,0.884857799,0.929498352
130.1633333,0.867969805,0.887495376,0.932392969
135,0.918814773,0.894142886,0.930220145
140,0.873122901,0.876361941,0.929498352
145,0.865405721,0.888156638,0.928058453
150,0.880922601,0.877011571,0.928777795
155,0.882231577,0.878964233,0.929498352
160,0.890145003,0.887495376,0.931667449
165,0.8750645,0.881576751,0.934577031
170,0.880269125,0.886175071,0.932392969
175,0.877011571,0.896152924,0.940458579
180,0.867328041,0.890145003,0.93971875
185,0.873769551,0.89951999,0.946426254
190,0.884857799,0.882231577,0.942686062
195,0.883543285,0.896152924,0.940458579
199.9983333,0.880922601,0.897497083,0.946426254
205,0.867328041,0.901550903,0.94944363
210,0.869898114,0.894812057,0.954013188
215,0.887495376,0.918814773,0.959412363
220,0.894812057,0.894142886,0.964100255
224.9983333,0.896152924,0.908381071,0.967257337
229.9983333,0.886834854,0.906321932,0.97284493
235,0.900873034,0.909069427,0.976074546
239.9983333,0.894812057,0.906321932,0.97526457
245,0.900873034,0.909758679,0.982616531
250,0.894142886,0.902909402,0.984269634
255,0.900196063,0.909758679,0.988433862
259.9983333,0.900873034,0.918814773,0.985929905
265.1616667,0.911140416,0.925193251,0.987597388
269.9983333,0.911832819,0.923767721,0.992643683
274.9983333,0.906321932,0.923767721,0.999477056
279.9983333,0.907693714,0.997757252,1.000339855
284.9983333,0.919518959,0.929498352,1.002071273
289.9983333,0.917409725,0.938243111,1.000339855
294.9983333,0.916009063,0.931667449,1.009960249
299.9983333,0.928777795,0.927340431,1.010846837
304.9983333,0.926623514,0.938243111,1.011735468
309.9983333,0.925907788,0.954013188,1.013518722
314.9983333,0.933119758,0.944177973,1.023476085
319.9983333,0.934577031,0.951721874,1.015310351
324.9983333,0.941199644,0.97284493,1.012626007
329.9983333,0.945675425,0.983442196,1.020735109
334.9983333,0.947178487,0.971240159,1.020735109
339.9983333,0.947932033,0.947178487,1.024394027
344.9983333,0.981792764,0.959412363,1.024394027
349.9983333,1.001204595,0.987597388,1.02716079
354.9983333,0.953248011,0.970440273,1.028087251
359.9983333,0.959412363,0.968845466,1.029947003
