time (min),cell1,cell2,cell3,cell4,cell5
0.5,2.327934448,3.525808223,2.194586689,2.23866389,2.608980284
1,2.342646458,3.465875104,2.04925531,2.069102934,2.640176359
1.5,2.438998413,3.503519928,1.895472188,2.055046123,2.567263244
2,2.215505853,3.622672713,2.14196607,2.05099572,2.273955477
2.5,2.3756969,3.265867236,2.036815665,2.251414662,2.55912831
3,2.314464391,3.40231806,1.83004383,1.976554203,2.337446963
3.5,2.278009505,3.416854174,2.18202428,2.074689338,2.510790445
4,2.361409198,3.402476084,2.217100528,2.089871932,2.317199884
4.5,2.323511554,3.173872851,2.275575691,2.32525996,2.590724109
5,2.28957977,3.563745136,1.994017335,2.051126677,2.388530673
5.5,2.383136618,3.498902076,2.476821656,2.148794431,2.824402251
6,2.391686909,3.565600888,2.03229954,2.278920258,2.5355179
6.5,2.582431577,3.504469512,2.039827413,2.228311653,2.768905773
7,2.355191483,3.537351475,2.140456183,2.248794282,2.698310099
7.5,2.378499925,3.280233164,2.114556382,2.09111146,2.685316666
8,2.413490254,3.281519923,1.824993585,2.177701056,2.753475563
8.5,2.243090653,3.432828841,1.983739314,1.981927305,2.705930455
9,2.215157264,3.412834758,2.227628138,2.205035875,2.334679276
9.5,2.183660715,3.442746763,2.532800319,1.992145057,2.733971329
10,2.112943905,3.347560101,2.128955968,2.225435213,2.60904713
10.5,2.433102613,3.426463588,1.903577289,2.301186609,2.606356683
11,2.375922638,3.325141403,1.980660315,2.165578244,2.574595813
11.5,2.270335997,3.587422208,2.109502928,2.085192124,2.49249446
12,2.324811445,3.460334396,2.095091508,1.895127254,2.81928593
12.5,2.328441123,3.52451272,2.216528529,2.111064764,2.524277413
13,2.347907288,3.291173241,2.039567348,2.357074835,2.516707118
13.5,2.261460518,3.622755955,2.122234688,2.180782255,2.621696768
14,2.382565124,3.413065832,2.17134687,2.277871824,2.580075577
14.5,2.419653433,3.324272745,2.270480714,2.125379409,2.576893721
15,2.294093608,3.368692424,2.173553321,2.137322978,2.725273366
15.5,2.420797286,3.426538834,2.186697888,2.419302493,2.787727088
16,2.203006623,3.540152739,2.422860375,2.330167079,2.718565784
16.5,2.539984711,3.437346342,2.100236484,2.223323307,2.888000461
17,2.411225517,3.44807494,2.192863375,2.292577654,2.672923725
17.5,2.300236186,3.512755582,2.146593862,2.19762481,2.526853261
18,2.231382735,3.443330983,2.064941918,2.421911758,2.666629228
18.5,2.345211037,3.410735608,1.903688237,2.289446556,2.768737287
19,2.183828205,3.539829742,2.247787807,2.11911277,2.946829829
19.5,2.241842449,3.395172314,2.185053943,2.35541982,2.649599079
20,2.322801741,3.397199708,2.233506162,2.397864493,2.805872092
20.5,2.040281918,3.508700794,2.326598477,2.139784839,2.551172247
21,2.398742152,3.378547186,2.059720948,2.228435577,2.273456975
21.5,2.368249265,3.283641525,2.154674715,2.210815397,2.547844714
22,2.542375811,3.449198558,2.255291403,2.282982373,2.745510116
22.5,2.166783329,3.522307538,2.397807066,2.296686143,2.65264049
23,2.42822904,3.407643607,2.189086656,2.319462982,2.637920691
23.5,2.3300214,3.429396093,2.021694224,2.19763142,2.608436302
24,2.460818631,3.456421066,2.178412253,2.064448758,2.754548128
24.5,2.39703175,3.546596239,1.837288896,2.475594884,2.470947831
25,2.39746923,3.563766731,2.361564678,2.378258177,2.693674134
25.5,2.368612731,3.399185619,1.921250573,2.095059735,2.832417173
26,2.490825613,3.446137213,2.196604118,2.28019259,2.738075759
26.5,2.400586192,3.449601976,2.139561928,2.220314264,2.548107453
27,2.485212253,3.36789269,2.204137556,2.28888128,3.02395116
27.5,2.369229844,3.689982749,2.138862019,2.280824762,2.447969053
28,2.390304797,3.42041264,2.272314965,2.236180428,2.649580791
28.5,2.472731896,3.264412571,2.369414456,2.473809753,2.891804297
29,2.388081136,3.47794248,2.279156919,2.335718073,2.781688
29.5,2.578425414,3.535621654,2.042424255,2.182929287,2.711356801
30,2.485792483,3.423950089,2.553286925,2.422884517,3.097188446
30.5,2.486179385,3.345895809,2.063444676,2.371180432,2.578869183
31,2.31096358,3.399627118,2.227645803,2.234045016,2.650313806
31.5,2.435721113,3.577890139,2.276687818,2.503416876,2.810224992
32,2.276418172,3.647767742,2.099974781,2.353554624,2.548355166
32.5,2.713782169,3.3768719,2.379846372,2.345038667,2.507661279
33,2.505610894,3.352983739,2.121758077,2.107170542,2.809463199
33.5,2.404066731,3.40546067,2.325081683,2.349280912,3.075257979
34,2.540423321,3.431058447,2.324128447,2.233987632,2.878710988
34.5,2.286858824,3.331869727,1.878286304,2.306257809,2.803167457
35,2.36980023,3.460170476,2.537304709,2.383926186,2.970708017
35.5,2.678602718,3.469662649,2.407087987,2.359604358,2.996527741
36,2.587815922,3.567867003,2.041784332,2.391721189,2.497538434
36.5,2.582273936,3.490940168,2.074333942,2.36615142,2.846256789
37,2.310211938,3.424549133,2.254687071,2.504929406,2.753964819
37.5,2.559233949,3.523766205,2.338728254,2.159415382,2.782668836
38,2.43060215,3.454463526,2.121095801,2.369027767,3.01257576
38.5,2.576970049,3.52306078,2.116278144,2.1256149,2.691563703
39,2.681635767,3.332904295,2.291182539,2.505759098,2.747784319
39.5,2.543526617,3.533435743,2.441888402,2.306642925,3.169267381
40,2.833859889,3.651447702,2.227299057,2.545029391,2.758258969
40.5,2.51675483,3.467623486,2.256048484,2.566491864,2.849228917
41,2.564023264,3.475533078,2.194794066,2.236324153,3.013152841
41.5,2.363587997,3.472543436,2.328485739,2.487020152,2.717817776
42,2.688562982,3.501046383,2.204037954,2.194419919,2.750552905
42.5,2.562690124,3.416714696,2.203508043,2.654657626,2.61408984
43,2.403758982,3.476415778,2.040916105,2.433269198,2.744650094
43.5,2.569080177,3.407818735,2.344619611,2.483309664,2.94827761
44,2.699331194,3.509528883,2.43149347,2.521000897,3.033690786
44.5,2.692036723,3.524422499,2.493827495,2.33278787,2.871930042
45,2.707153571,3.625565876,2.311603464,2.224407181,2.971459574
45.5,2.633576116,3.565109369,2.563038615,2.435700402,2.93754233
46,2.792154389,3.481774143,2.103339802,2.361156731,2.711933538
46.5,2.925307683,3.519714815,2.177023551,2.462101445,2.898732643
47,2.604742943,3.445357223,2.076251505,2.43679672,2.928260803
47.5,2.440417376,3.433786995,2.181726438,2.472232121,2.813708737
48,2.520418482,3.464412375,2.383772971,2.501105578,2.937629669
48.5,2.508934124,3.680150507,2.46822435,2.530941335,3.043814913
49,2.801090685,3.507192088,2.444789209,2.413438504,2.879307385
49.5,2.654351094,3.449893496,2.262429814,2.345841385,2.902854443
50,2.594309517,3.480099933,2.233376109,2.436393816,2.934708354
50.5,2.712534506,3.511831332,2.278763392,2.498268482,2.83797734
51,2.935727522,3.482581737,2.271997811,2.56975794,2.715200818
51.5,2.717444648,3.533286392,2.256263415,2.492291207,2.95813688
52,2.760336613,3.537451992,2.163368756,2.582542902,3.011734225
52.5,2.503872718,3.355884092,2.207043498,2.623797313,3.05432402
53,2.605270035,3.517027244,2.345838118,2.444060895,3.116828073
53.5,2.990079656,3.36901389,2.218269395,2.558939624,3.013739852
54,2.705569259,3.538220583,2.502251709,2.679308162,2.835849389
54.5,2.967620967,3.430477746,2.479998072,2.484914655,2.916604381
55,2.762275167,3.572520712,2.238837429,2.59034764,3.228426373
55.5,2.627714972,3.495723986,2.332117685,2.670299638,2.864862293
56,2.813930806,3.678853796,2.73724582,2.653816242,2.979998521
56.5,2.838032141,3.326728829,2.357121607,2.662167387,2.992881362
57,2.752821108,3.527211627,2.262541652,2.581834877,3.028560267
57.5,2.868714693,3.49180157,2.128813387,2.597289128,2.66924039
58,2.820007185,3.592737748,2.329343851,2.791085026,2.941257833
58.5,2.73622804,3.502663538,2.211224624,2.746889099,2.978992462
59,2.90430209,3.434460498,2.137746819,2.742518535,2.874426625
59.5,2.729290839,3.76117763,2.413534903,2.603596849,3.319174674
60,2.818242029,3.57585731,2.422511171,2.469384971,2.928330632
60.5,2.921072566,3.509754422,2.415088296,2.643256832,3.070295238
61,2.755886324,3.623479389,2.547682686,2.761975906,2.941238373
61.5,2.921775386,3.569152743,2.575899637,2.846637368,3.201390399
62,2.717900661,3.852108458,2.390611362,2.587948221,3.218087737
62.5,2.862192612,3.566358025,2.404045788,2.47559316,3.02894654
63,2.801138478,3.642655861,2.437005851,2.705883938,2.905755986
63.5,2.949075737,3.676132471,2.569386663,2.839372234,2.923600335
64,2.597174549,3.668050846,2.501911116,2.585376882,2.819278772
64.5,2.775208615,3.513576308,2.349952301,2.603756549,3.115235587
65,2.660697849,3.832470756,2.464464389,2.729118093,2.995220067
65.5,2.807543692,3.67763728,2.415858895,2.680075754,3.236571169
66,2.76232532,3.837064707,2.533984752,2.890470859,3.010764377
66.5,3.021625711,3.749240597,2.54906108,2.917243675,2.811313827
67,2.912565498,3.654625129,2.828650354,2.759530302,2.763498578
67.5,2.900866506,3.738435291,2.435639644,3.078556232,2.898374478
68,2.838771871,3.731929625,2.292582231,2.730391647,3.093960253
68.5,2.721156403,3.925194313,2.61105935,2.767970124,3.192361304
69,2.797907805,3.666810146,2.378528749,3.07880885,3.158394813
69.5,2.905946741,3.685992351,2.323202869,2.717870432,3.069755427
70,3.078748864,3.659475455,2.423040746,2.774617377,3.092972394
70.5,3.079220411,3.719803423,2.340302192,2.682788474,3.06003039
71,2.822380442,3.62340518,2.490082429,2.92594964,2.966547946
71.5,2.982188453,3.752284184,2.547939046,2.715092858,3.285660782
72,3.059635721,3.670717814,2.415705364,3.017233787,3.03804772
72.5,3.0350967,3.762126741,2.607836236,2.870829431,3.129537052
73,2.961478444,3.634756133,2.565196075,3.155815256,3.264379845
73.5,2.969418973,3.651855657,2.378406722,2.974285988,3.489243635
74,3.07650638,3.688467179,2.516531764,2.884549056,3.017955908
74.5,2.963439981,3.769259143,2.445641294,3.12105452,3.317920427
75,3.063051976,3.780406356,2.313226761,2.895975359,3.191519895
75.5,2.92090885,3.694467383,2.796077618,2.821575267,3.118056942
76,3.009025268,3.71136287,2.578285089,2.941938635,3.064219521
76.5,3.166142869,3.647033878,2.662370296,2.761961008,2.9605953
77,3.008732929,3.925195296,2.496773516,2.844193145,3.608265347
77.5,3.007492479,3.74201907,2.460321637,2.748215866,3.149412581
78,3.021834406,3.682938736,2.481847864,2.847186094,3.268924383
