time (min),cell1,cell2,cell3,cell4,cell5
0.166666667,1.000572916,1.000290462,0.999788848,1.000342972,1.001216276
0.333333333,0.999869413,0.998671548,0.999267089,0.999027236,1.001157093
0.5,1.000613615,0.998437738,0.997432695,0.997975644,1.002113887
0.666666667,0.999907205,0.99677443,0.998388337,0.996789488,1.000397576
0.833333333,1.000349075,0.998301596,0.995955293,0.999261477,1.001240936
1,0.998267636,0.998070745,1.000409466,0.996939004,1.001492464
1.166666667,0.998796717,1.000491717,0.998547611,0.997995579,0.999248436
1.333333333,1.001439213,0.998129937,0.998734346,1.003059169,0.999440781
1.5,0.998343219,0.998603477,1.000464388,0.998912607,1.000599785
1.666666667,1.001212464,1.000293422,1.000211747,0.998663415,0.998094365
1.833333333,0.999718248,1.000909024,1.000173302,0.99822982,0.998148616
2,1.000468263,0.99960383,1.000101903,0.996515377,1.001033795
2.166666667,0.999927554,0.99787837,0.998256524,0.99838432,1.000861177
2.333333333,1.000485705,0.998733701,1.001150913,0.999450863,1.001462873
2.5,1.002093296,1.000459161,1.000283146,0.998160046,1.002542965
2.666666667,0.998482757,1.000527232,1.000288638,0.999336235,0.999347075
2.833333333,0.997782161,0.998289757,0.996905444,0.997736419,1.0034751
3,1.000081627,0.997511376,0.997163577,0.997223083,1.00181304
3.166666667,0.999811273,0.997946441,0.999486777,0.998269691,0.998681264
3.333333333,0.998221124,1.000092168,0.998756315,0.997462308,0.998365621
3.5,1.003029362,0.999612709,0.998157665,1.000377859,1.00010166
3.666666667,1.001453748,0.995220628,0.99564773,1.002590687,1.000501146
3.833333333,0.99811647,0.998905359,1.001354124,0.997935773,1.000417303
4,0.999575803,0.999346343,1.0002447,0.998309562,0.998340961
4.166666667,0.998735669,0.999852438,0.997399741,0.997123406,1.002597216
4.333333333,0.999819994,0.998254242,0.997476632,0.998603609,1.000866109
4.5,0.999386845,0.997351557,0.998899112,0.997960693,0.997438418
4.666666667,1.000389773,1.000657456,1.000420451,1.00067689,0.999786016
4.833333333,0.997549598,0.998047068,0.995856434,0.997213115,1.00263174
5,0.99803798,0.999964904,0.998514658,1.000941034,0.99759624
5.166666667,1.002392721,1.001089561,0.999964598,0.99993928,0.999524624
5.333333333,0.99968627,0.999017824,0.998965018,0.996076798,1.002513374
5.5,0.998944976,0.999003026,0.9983444,0.998518884,1.001477668
5.666666667,1.000607801,0.998704104,0.999898692,0.995842557,0.998020386
5.833333333,1.001538052,0.999094775,1.001035577,1.000258246,1.003647717
6,0.999069978,0.998979349,1.00194179,0.999391057,0.999909315
6.166666667,1.001244442,1.001213865,0.999755895,0.99883785,0.999218845
6.333333333,0.998189146,0.999352262,0.998360876,0.996909101,1.001142297
6.5,1.000631057,1.000438444,0.998086266,0.998812931,0.999771221
6.666666667,1.000032208,0.999873155,0.997443679,1.000028989,1.002316096
6.833333333,0.998878114,0.997970118,0.998811236,0.997801209,0.998119024
7,1.00136363,0.999923469,0.999536207,0.998633512,1.00385979
7.166666667,1.001532238,0.999553516,0.99852015,0.997671629,1.000007953
7.333333333,0.999947903,0.998994147,0.997108655,1.000607116,0.997270732
7.5,1.000139768,0.999390737,0.998393829,0.997796226,1.001142297
7.666666667,0.998991488,0.997570569,0.999563668,0.998922575,1.000402508
7.833333333,0.999805459,0.9999945,0.998141188,0.996390781,0.995367007
8,0.998782182,0.998171372,0.995889387,1.00013365,1.004091591
