time (min),cell1,cell2,cell3,cell4,cell5
0.5,1.929491805,1.800933392,1.60482986,1.988947845,1.530217827
1,2.324406514,1.840257667,1.600244749,1.982260008,1.488999302
1.5,1.889773215,1.85612573,1.520661236,2.004985018,1.754893137
2,1.612260127,2.049153771,2.182055487,2.084282111,1.750793535
2.5,2.084427242,1.664865215,1.769172905,1.639995392,1.740440234
3,1.788738678,1.898740815,1.571743054,2.061098501,1.690186153
3.5,2.052084426,1.798175363,1.730270107,1.964705014,1.417970108
4,2.006386693,1.94913708,1.939202394,2.109695604,1.796112141
4.5,1.822253249,1.908723893,1.701215253,2.24158513,1.603837047
5,2.068195596,1.618474789,1.78736187,2.008975385,1.527175597
5.5,2.183525611,1.783443446,1.78736187,2.112752001,1.702314483
6,2.060802537,1.88978812,1.985927585,2.2463579,1.741377483
6.5,2.295836619,1.762220865,1.999078613,1.938083974,1.903444929
7,1.895264964,1.770249785,1.999059779,2.030809448,1.678160006
7.5,2.564714162,2.006361767,1.910673911,2.043832561,1.592751256
8,1.889504217,1.856160085,1.867453986,2.273140983,1.612017529
8.5,2.166192794,1.864305361,1.62224441,2.108621932,1.469857158
9,1.978713701,2.093727536,1.828371595,1.816538371,1.782817661
9.5,1.443779889,1.826700188,1.807967185,1.952090723,1.544906416
10,2.03860492,1.965473412,1.650105223,1.860589301,1.90834106
10.5,2.201915756,1.924426272,1.880609716,1.998341415,1.712222599
11,2.188946919,1.567505451,1.852720631,1.900057014,1.9959545
11.5,2.066368163,2.06371997,1.899655247,1.985723971,1.552530945
12,2.10483492,1.70870778,1.773404726,2.345455469,1.716497339
12.5,2.069101564,1.855827831,1.860372985,1.988518749,1.63880922
13,2.128492947,1.870152067,1.800331656,1.910488203,1.742624886
13.5,2.044046521,1.757230267,1.509321593,2.094615339,1.759334546
14,1.924898655,1.887499775,1.501674074,2.120964536,1.724830747
14.5,1.945630234,1.991879342,1.977957233,2.010494953,1.725631712
15,2.391666955,1.921141083,1.866952452,1.960203733,1.488359971
15.5,2.206422599,2.073782652,1.874896144,2.29115361,1.414626958
16,1.921469323,1.587218508,1.521028091,1.900152868,1.576722287
16.5,2.088389158,1.783172371,1.827093759,1.88203755,1.746144628
17,2.039371915,2.067004282,2.021612588,2.194509146,1.72735064
17.5,1.912698931,1.594132761,2.103306238,1.719627383,1.711036069
18,1.963009987,1.694685259,1.928582458,2.179393942,1.656003611
18.5,2.428160997,1.825741258,1.983365856,2.05265273,1.836850711
19,1.909415126,1.826700188,2.013811199,1.949446592,1.899399253
19.5,2.141702295,2.097704689,1.901808839,1.889337707,1.654306109
20,2.163285155,2.185643289,1.582742795,2.132166219,1.655392962
20.5,2.30582743,1.605846415,2.001427232,1.899822845,1.932925518
21,2.232525402,1.829924039,2.108461094,2.07100662,1.717980379
21.5,2.189086656,1.789336585,1.582741347,2.05559196,1.64028748
22,2.157220899,1.742459922,1.944463332,2.13581718,1.836765502
22.5,1.920505955,2.059932095,2.067384547,1.921116316,1.880337543
23,1.995934513,1.871963354,1.754125212,2.05416048,1.496269147
23.5,2.146602516,1.91764606,2.015451004,1.998485107,1.869766732
24,2.303357983,2.05356851,1.818823689,2.062615535,1.649452882
24.5,1.912043589,1.868377886,2.628318769,2.161892963,1.812215624
25,2.153518218,1.952904097,2.256213145,2.204715812,1.868104554
25.5,2.097330552,1.927626961,2.119668622,1.980842506,1.93133451
26,1.943312583,2.10018482,2.062717882,2.179470507,1.833891569
26.5,2.029614019,1.794914605,1.814369716,2.303414927,1.751460454
27,2.073407141,1.854020091,1.959536059,2.080212483,1.826162129
27.5,2.147801277,1.86000446,2.028520639,2.081736504,1.905022334
28,2.148762549,2.167708636,1.918312529,2.048168539,1.859029914
28.5,1.959805369,2.049052192,2.091582806,2.064579381,1.944282343
29,2.111266806,1.843343087,1.895707022,1.762383601,1.931529414
29.5,1.963983324,1.832141354,2.287908878,1.856288328,2.085679448
30,2.081861732,1.831129553,1.926482201,2.078204612,2.058580444
30.5,2.046321311,1.617956313,2.244164755,1.967187347,1.980600128
31,1.93484412,2.065286463,1.882496731,1.974198149,1.921910628
31.5,2.03061579,1.738504544,1.86874136,2.251166757,2.02353535
32,1.90011865,1.547941994,1.748144289,2.116732225,2.087621444
32.5,2.137237659,1.762579119,1.610963538,2.184951567,1.903505908
33,1.659565336,2.203939978,1.867787619,1.851059045,2.002301518
33.5,1.938083974,2.085944479,1.97822144,2.434853612,1.847975123
34,1.815933338,1.985196313,2.03465226,1.860397801,1.758870033
34.5,2.185355047,1.837288896,2.101975832,1.96119437,1.967013929
35,2.183298133,1.915290224,1.889966117,2.197881081,1.878153126
35.5,2.211136928,1.710451491,1.914776737,1.974970026,1.914351337
36,1.987611856,1.811055978,2.250525083,2.02962157,2.068451635
36.5,1.785938895,1.941704546,1.63479498,2.03342801,1.927395356
37,2.095424532,1.671528227,1.811717657,2.025597718,2.039296315
37.5,2.261217075,1.670616685,2.072652734,2.104799315,1.706178305
38,1.96525352,1.756763453,2.026809052,2.16185768,1.947078348
38.5,2.065457642,2.363240333,2.062302334,2.029867186,1.958724245
39,1.685212269,1.760387395,1.877280874,2.112075212,1.721172624
39.5,1.937499644,1.858451962,1.885186256,2.2401967,1.859901622
40,2.228713577,1.647843004,2.042448727,2.251506062,1.995898838
40.5,2.280227902,1.600244749,2.269199371,2.038366519,1.915483868
41,1.949489464,2.141898174,1.797348325,2.0907429,2.019004352
41.5,2.170373378,1.819907578,1.972572334,2.173548635,1.977926913
42,2.452296863,1.967389486,2.153954714,2.239417692,1.795086016
42.5,1.941934077,2.174226649,1.984443956,2.101641611,1.924504518
43,2.202588056,1.774823786,1.746429122,2.180635672,1.866904178
43.5,2.527643846,1.866614351,2.031333272,2.393799229,2.156720346
44,2.214845922,2.112264135,1.586645373,2.073342474,2.14341851
44.5,2.288229626,1.951926819,1.795029262,2.014010085,2.112416391
45,2.110426881,1.702401753,1.852755019,1.896824666,1.928565421
45.5,2.077184452,2.056972027,2.000273771,2.322070194,1.904747585
46,2.169284177,1.926395345,1.912787463,2.155785057,2.185843343
46.5,1.968631088,1.610963538,2.288277277,2.270275215,2.00237205
47,1.976235394,1.839436482,1.936342305,1.962422905,1.834742822
47.5,2.095059735,1.889036118,1.965740202,1.842016279,2.003632455
48,1.955683,1.71732041,2.00062368,2.303115342,2.068625189
48.5,2.089871932,1.731655512,1.903001819,1.970389104,1.883793158
49,2.052665041,1.674819851,2.040737965,2.390548233,1.982946083
49.5,2.057227175,1.760498174,1.712565479,2.125747032,1.919302564
50,2.238490111,1.801242391,1.763067777,2.074394503,1.976591202
50.5,1.939321602,1.767714644,2.356606991,2.187766999,2.045760529
51,2.153869799,1.788738678,1.738116982,2.408521339,2.103328659
51.5,2.084241512,1.685212269,2.063911038,2.03627994,2.143916119
52,2.333845732,1.9822166,2.2177738,1.934424979,2.048402243
52.5,2.284930861,1.792656951,1.854558212,2.093981356,2.197543073
