time (min),cell1,cell2,cell3,cell4,cell5
0.166666667,0.999721772,0.999778611,1.003392621,1.005773826,0.995497701
0.333333333,1.00058502,1.00096281,1.001835052,0.996433268,0.999719999
0.5,0.998630381,0.998372176,1.00000159,1.005574459,1.003096439
0.666666667,0.998148196,1.001445379,1.000941021,0.998891221,1.000146423
0.833333333,1.000136131,1.000232607,1.000378759,0.999021414,1.001810176
1,0.999788366,0.998810298,0.999390436,0.99593028,1.000936356
1.166666667,0.999885789,0.999727814,0.999701251,0.994965521,0.997497001
1.333333333,0.999412236,1.000194509,1.00026002,0.99749734,1.002236601
1.5,0.999940051,1.001683489,1.000574328,1.001763265,0.997930416
1.666666667,1.000501161,1.002461315,1.000232082,1.002287664,0.998755302
1.833333333,1.000132431,1.000800896,1.000029528,0.997953801,0.997203397
2,1.001724506,0.998680131,1.002138882,0.996493383,0.99997865
2.166666667,1.000853859,1.000210383,0.999446313,0.999700629,1.00148162
2.333333333,1.000438268,1.00065168,1.000881651,1.000018125,0.999440377
2.5,0.999884556,0.999048407,0.999016759,0.989556345,0.999713008
2.666666667,1.000270551,0.998648383,1.003074821,1.006327664,1.002075818
2.833333333,1.001570355,0.998775375,0.998653559,1.001002319,0.998238
3,0.999277817,1.001216794,0.998101774,0.990314202,1.000537894
3.166666667,1.00235591,0.998908716,0.999104066,0.999604116,0.998084208
3.333333333,0.999233421,1.000727875,0.999886343,1.00334906,0.999615141
3.5,0.999837694,1.002429567,0.998213528,0.999741515,0.999719999
3.666666667,1.001699842,0.999657968,0.99907962,0.991528027,0.997392142
3.833333333,0.998471297,0.998470594,1.000867682,0.995603808,0.999643103
4,0.99900651,0.99916905,0.999551082,1.003514211,1.001803186
4.166666667,1.001032675,0.998746802,1.000759421,0.997029516,0.995455757
4.333333333,1.001083237,0.999369062,0.998922466,1.00410947,0.997413114
4.5,1.000354409,1.001350135,0.999250743,0.999056619,1.000048555
4.666666667,0.998764801,1.001423156,0.999854913,1.00206178,1.000551876
4.833333333,0.996882922,1.000581835,0.999931743,1.006089058,0.998755302
5,1.000864958,0.998194387,0.999324082,0.996037004,1.002739921
5.166666667,0.999868524,1.00175016,0.999984128,1.003219731,1.003145373
5.333333333,0.999980747,0.999848456,1.000333359,1.003950866,1.002928666
5.5,1.000983347,0.997502281,0.999282174,1.003727659,1.000419055
5.666666667,1.000517193,1.000937412,0.999121528,1.004409591,1.002411365
5.833333333,1.001119,1.000673904,1.001576621,1.012596769,0.997021643
6,0.99940977,0.998562663,1.000944513,1.000846721,0.997769633
6.166666667,1.001168328,1.002661327,0.99858022,1.001176982,0.999209688
6.333333333,0.999026242,0.998057871,0.99880722,1.001620554,0.99948232
6.5,1.000355642,1.000007196,1.00195379,0.997371635,1.001998922
6.666666667,0.999031174,0.998581712,0.99817162,1.003169292,0.997042614
6.833333333,1.000788499,1.001248542,0.999418374,1.003084349,0.99823101
