fov_id;chnl_id;lineage_times;fl_totals;fl_concs
2;717;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[ 54869  56072  60309  73527  82705  81778  80394  93777  92314  96029
  96364  95813 100398  99353  98484 101894  95417 101184  98323  99684]";"[24.7727012  23.52346683 21.52840205 23.1912891  23.43885316 22.51939039
 26.30458789 30.69280711 28.7484738  28.28659656 31.3667761  29.98732637
 29.21396979 30.31620119 34.51600415 30.41895222 32.53405903 32.33366047
 33.52490946 33.43805973]"
2;1235;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[31695 44609 47410 47483 53000 56996 51026 48332 45834 43487 40772 42146
 39956 41915 43226 40945 43064 42996 43541 39434]";"[15.24062855 17.58079261 14.29029096 17.95497833 20.19383135 22.78472695
 21.06214622 18.35737972 16.59478475 15.30602096 16.96799582 15.89168599
 15.05761068 15.97318636 14.10420038 15.37374669 14.81420231 15.56004893
 17.2791089  15.12356618]"
2;1754;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[46286 59276 22508 20496 27920 30139 30793 26387 29528 27366 27327 25864
 24519 24224 23917 23644 22417 24495 24255 23846]";"[10.73423006 11.16729465  9.13403517  7.42141935  8.38155752  9.43283301
  8.89514468  7.82026163  9.64261068  8.49362425  8.18549799  8.26492127
  7.75649866  7.22131113  7.31715639  7.89100733  8.68055571  8.56198238
  8.64006296  8.62677002]"
2;124;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[44216 51358 24404 25308 25872 30135 31358 36155 33583 31775 30660 33155
 30431 33941 26133 33090 33316 38070 37806 29842]";"[17.5421915  17.94985688 20.98161493 21.43468613 17.14284045 18.92656889
 23.10159274 29.09372595 25.4614756  21.40028343 23.34943658 26.74740941
 25.53664393 25.60910923 24.28246829 24.96701407 24.01532736 30.40585705
 28.90776502 25.19704908]"
4;1382;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[40042 57155 36345 58889 47712 50592 45682 43627 43073 43554 44805 50479
 53153 48953 52638 54303 55583 58918 55857 58220]";"[10.62122016 11.05940402 11.41488693 13.29923216 16.92936889 19.32752833
 18.52735477 17.96933175 17.03473005 16.47979108 17.62481369 19.34418445
 20.43685896 20.42799261 17.94971272 21.27375294 21.41303939 21.08763007
 19.79566005 21.56741662]"
4;275;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[17660 14200 16037 16023 15653 15418 15801 14084 12568 13469 13930 13240
 14085 15612 14331 13921 15650]";"[12.17607763  9.70293666 10.58205066 10.44156093 10.10316451 11.7088594
 11.38843022 11.83646868 10.6061911  12.76358293 12.40174948 11.11792428
 13.01557545 13.10974576 13.75781553 11.5767556  13.45950265]"
4;1086;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[ 47256  69999  76829  92333 103404 115498 102716 104952  93950  97076
  93310  95124  94117  89230  90638  89466  94539  97087  96770  97664]";"[12.50968323 16.60656961 15.60904869 18.85973501 20.47057765 20.4090362
 18.99862769 20.65112491 16.66060033 20.33325348 18.28539607 18.56051955
 18.8306904  19.99325628 19.75832894 23.52699346 24.8043598  23.34950318
 21.66797005 22.13265823]"
4;351;[  1  31  91 121 151 181 211 241 271 301 331 391 421 451 481 511 541 571];"[109729 118008 155095 182378 173440 176520 164550 170913 171750 170389
 177522 180455 179456 179523 185576 182892 183915 190963]";"[22.16605108 15.81220616 27.62066828 24.64564491 22.63356273 23.99105434
 26.3310067  28.2075297  27.48918051 28.11003414 28.40087611 29.20870036
 26.79488577 27.2193063  28.24398467 25.49703633 24.98495731 30.90954004]"
5;640;[  1 121 151 181 211 241 271 301 331 361 391 421 451 481 511 541 571];"[38247 82687 83993 87549 86310 80887 78054 77797 78582 82599 81101 82950
 81115 81948 82961 84963 83491]";"[17.20050378 26.16676865 26.50846736 29.70186769 32.90896108 29.57103626
 26.14396587 28.4653272  25.65489133 28.08982723 27.49604074 27.15859746
 28.68856269 29.94109665 28.90136058 28.7363541  31.81379389]"
5;1157;[  1 121 151 181 211 241 271 301 331 361 391 421 451 481 511 541 571];"[59436 30823 36003 34234 44275 52875 55069 56972 50568 60993 36267 30589
 39611 39282 40796 33518 39629]";"[17.4304801  13.01589804 17.19220827 15.56275453 17.95733209 23.93055831
 26.31578836 26.06052955 21.44404286 26.67440192 15.86084525 12.50732917
 18.83703457 15.0709918  17.76441083 14.40595863 20.58950842]"
