fov_id;chnl_id;lineage_times;fl_totals;fl_concs
1;737;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[13914 18710 15275 15291 15443 14028 13486 13471 12102 12173 12984 11941
 12543 11078 14234 13300 13156]";"[6.68942308 3.84031199 5.78160484 5.65077605 6.27254265 6.48243993
 6.31958763 6.0245975  4.76832151 4.97263072 4.93688213 5.20986038
 5.47729258 4.85393785 6.24624414 5.80987697 5.23069609]"
1;1252;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[17649  7179 20986 10244 10609  7988  8693  7643  6734  6530  6696  5985
  6223  6360  5521  6072  6400]";"[6.09426796 4.18844807 6.56633292 8.47641371 8.02895087 5.66282962
 6.36451009 5.92080204 5.51737779 4.69922747 5.2134609  4.2647939
 5.16153578 4.87711228 3.97997071 4.96774984 4.62900276]"
1;663;[  1  31  61  91 151 181 211 241 271 301 331 361 391 421 451 481];"[17831 23098 19768 15980  6472  5168  5017  5260  4988  4686  4648  4474
  4492  4724  4489  4904]";"[6.25210379 3.58887508 5.87284611 4.83949122 4.45249627 3.33733122
 3.64083374 3.33612657 3.2286932  3.48575028 3.30068794 3.28793076
 3.11690021 3.83745869 3.35013985 3.43416919]"
1;1105;[  1  31  61  91 121 151 181 211 241 271 331 361 391 451 481];"[15140  7450 13523 18210 16394 16385 17360 13205 13392 13176 11330 12770
 11111 13538 11444]";"[7.59658806 3.83033419 5.64398998 7.04176334 7.15270506 6.95458404
 6.73390225 5.96971067 5.84293194 6.34071222 5.12669683 5.108
 4.60273405 5.9408215  4.15487704]"
2;1324;[  1  31 151 181 211 241 271 301 331 361 421 451 481];"[28008 22958 17371 18895 18285 16072 17202 15861 14925 15218 14089 14585
 12719]";"[6.19098143 8.04978962 7.46263923 7.56520478 7.67598904 7.29072679
 7.3945241  6.84108183 5.99358997 6.52074632 5.51078696 5.85705258
 4.98101966]"
2;145;[  1  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[12970 10509 11169 11210 11104  9544 10375 11126 10263 11706 10516 10834
 11010 10422 11736]";"[4.50013848 3.73637721 3.90023571 3.91568829 3.78546481 3.26519271
 4.10799332 4.08037837 4.27423274 4.28659091 4.18002966 5.02337579
 4.84195902 4.11932652 4.79019664]"
2;884;[  1  31  61 121 151 181 211 241 271 301 331 361 391 421 451 481];"[22219 29307 23843 10500  8888  8220  7391  6977  6223  5790  6003  5551
  5459  5163  5326  4921]";"[8.79612035 5.9373987  7.46493425 8.91267681 6.46817574 6.93689456
 6.16068542 5.40487188 5.16153578 5.29798582 4.67389572 4.68451359
 4.21397643 3.75733476 4.14678804 3.83145775]"
3;1768;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[49983 26977 49214 20294 21119 19395 18648 16129 14856 14229 13242 13054
 12476 11910 11295 10894 10697]";"[5.99604127 5.53715107 6.00756836 5.53350713 5.78342338 5.77567267
 5.1999136  5.29148929 4.34275234 4.18094445 3.82520397 3.92229182
 3.59180889 3.61584775 3.60170194 3.20838174 3.2640424 ]"
3;1545;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[26736 15478 16084 18896 18572 19183 19676 17908 16455 16995 16565 14262
 13933 15281 14570 13368 13489]";"[5.46078431 5.48087819 6.82663195 7.3760908  7.25069895 7.62898534
 9.16872442 7.97947897 6.50947145 6.99242383 6.89932251 5.94846539
 5.82036584 7.23573363 5.61106181 5.99622697 6.25903642]"
3;1250;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[18554 12754 25149 10446  9728  8177  7739  7941  6946  6761  6063  6036
  6013  6179  6096  5852  6037]";"[5.06386463 5.06111111 6.38299492 6.08129257 4.99637037 4.91068176
 4.46251692 4.39868765 4.09619463 3.74506072 3.82600489 3.47271487
 3.92035997 3.62870389 4.02774371 3.66617058 3.32516309]"
